texto,etiqueta
"Enhorabuena has ganado un premio de mil euros pulsa aqui para cobrar",spam
"Hola mañana tenemos la reunion a las diez en la oficina no faltes",ham
"URGENTE tu cuenta ha sido bloqueada por seguridad introduce tus claves",spam
"¿Quieres ir a cenar esta noche al restaurante nuevo de la esquina?",ham
"Gana dinero rapido y facil desde casa sin esfuerzo entra ya",spam
"Te he dejado los apuntes de clase sobre la mesa del salon",ham
"Oferta exclusiva solo hoy cincuenta por ciento de descuento en todo",spam
"¿Has visto el correo que nos envio la profesora sobre el examen?",ham
"Reclama tu crucero gratis por el mediterraneo llamando a este numero",spam
"Recuerda comprar leche y pan cuando salgas del trabajo",ham
"Tu paquete no se ha podido entregar, actualiza tus datos de envio aqui",spam
"¿A que hora quedamos para ir al gimnasio esta tarde?",ham
"Su cuenta bancaria sera suspendida si no verifica su identidad ahora",spam
"Hola papa, ¿puedes pasar a recogerme por la estacion a las seis?",ham
"Gana un iPhone 15 solo por completar esta encuesta de un minuto",spam
"La factura del gas de este mes ya esta disponible para descargar",ham
"¡Felicidades! Has sido seleccionado para trabajar desde casa por 500 euros al dia",spam
"No te olvides de felicitar a Lucia por su cumpleaños mañana",ham
"URGENTE: Se ha detectado un inicio de sesion sospechoso en su cuenta",spam
"He reservado la pista de padel para el sabado a las once",ham
"Invierta en Bitcoin hoy y multiplique su dinero en solo una semana",spam
"¿Me puedes pasar el contacto del electricista que vino a tu casa?",ham
"Ha recibido un reembolso de impuestos de 300 euros, haga clic para cobrar",spam
"El examen de conducir me ha salido muy bien, ¡ya tengo el carnet!",ham
"Ultimo aviso: pague su deuda pendiente para evitar acciones legales",spam
"¿Vais a traer algo de comer a la cena de esta noche?",ham
"Descubre el secreto para perder diez kilos en una semana sin dieta",spam
"He dejado las llaves de repuesto debajo del felpudo por si acaso",ham
"Su suscripcion ha caducado, introduzca su tarjeta para renovar la oferta",spam
"Mañana hay huelga de metro, sal con tiempo para llegar a la oficina",ham
"¡BONO GRATIS! Recibe 50 giros en el casino online solo por registrarte",spam
"¿Te apetece que vayamos al cine el viernes a ver la nueva pelicula?",ham
"Has ganado una tarjeta regalo de Amazon de doscientos euros",spam
"Ya he terminado el informe, te lo envio por correo en cinco minutos",ham
"Prestamos personales inmediatos sin intereses ni papeleo, contactanos",spam
"¿Sabes si hay que entregar el trabajo de historia mañana o el jueves?",ham
"Confirma tu asistencia al evento haciendo clic en este enlace seguro",spam
"He comprado entradas para el concierto, te paso el Bizum ahora",ham
"Su paquete esta retenido en aduanas, pague las tasas para recibirlo",spam
"Quedamos en la puerta del centro comercial a las siete y media",ham
